PM2.5, PM10, SO2, NO2, CO, O3, U(m/s), V(m/s), TEMP(K), RH(%), PSFC(Pa), lat, lon, 
13,21.52,2.14,3.51,0.4,60.92,-7.74,-1.57,297.66,77.86,100161.64,18.34,109.25, 
13.45,23.23,2.38,4.47,0.46,58.12,-7.78,-2.99,297.47,80.31,100362.91,18.34,109.38, 
13.82,24.48,2.47,4.44,0.48,58.56,-7.14,-4.29,296.94,84.34,100253,18.33,109.52, 
13.99,25.75,1.87,3.13,0.44,63.93,-6.61,-4.29,296.65,88.79,100396.7,18.33,109.66, 
13.29,19,1.52,2.47,0.27,64.52,-3.6,-0.71,298.44,74.13,101407.62,18.49,108.83, 
13,19.19,1.68,2.79,0.3,63.62,-4.44,-1.39,298.18,74.44,100507.02,18.49,108.97, 
12.86,19.71,1.88,3.26,0.34,62.15,-5.57,-1.06,297.43,76.51,99257.9,18.48,109.11, 
12.89,20.56,2.08,3.76,0.38,60.18,-7.61,-0.84,296.93,78.82,98569.33,18.48,109.25, 
13.12,21.4,2.23,4.01,0.41,59.37,-8.48,-2.27,295.86,84.47,97700.03,18.47,109.39, 
14.03,23.12,2.44,4.38,0.43,58.51,-6.86,-3.43,295.01,91.19,97607.29,18.46,109.53, 
14.33,24.28,2.04,3.84,0.43,60.83,-5.18,-3.12,296.32,87.83,99910.03,18.46,109.67, 
13.64,23.84,1.35,2.14,0.37,68.99,-5.43,-3.46,297.25,85.62,101151.05,18.45,109.81, 
13.23,24.29,1.22,1.44,0.3,77.06,-6.67,-4.39,297.37,87.67,101347.87,18.45,109.95, 
13.48,18.69,1.34,2.41,0.27,63.59,-4.16,-1.05,296.56,79.01,98261.52,18.62,108.84, 
13.31,18.99,1.3,2.58,0.3,61.15,-4.41,-1.66,296.35,80.11,98019.02,18.62,108.98, 
12.89,19.02,1.34,2.58,0.31,62.12,-4.38,-1.39,297.33,76.39,99288.16,18.61,109.12, 
12.59,19.07,1.34,2.49,0.32,62.06,-6.66,-0.91,296.88,77.06,98160.52,18.61,109.26, 
12.6,19.21,1.36,2.36,0.32,64.69,-8.21,-0.56,294.51,86.86,95386.46,18.6,109.4, 
13.9,21.73,1.43,2.95,0.35,62.22,-6.74,-1.54,293.92,93.44,95767.95,18.6,109.54, 
14.09,22.89,1.49,3.21,0.37,63.3,-5.35,-2.76,295.94,86.56,98716.39,18.59,109.67, 
14.04,23.62,1.49,2.72,0.35,67.2,-5.23,-3.45,296.6,85.62,99791.35,18.59,109.81, 
13.66,23.69,1.49,2.02,0.31,74.47,-5.46,-3.79,296.5,88.13,100021.68,18.58,109.95, 
13.27,24.44,1.35,1.47,0.27,80.29,-6.35,-4.36,296.71,90.63,100651.38,18.57,110.09, 
15.77,21.2,1.92,2.46,0.25,69.3,-2.02,-0.58,297.48,75.84,99969.06,18.76,108.7, 
13.58,18.55,1.31,2.2,0.24,64.75,-4.59,0.7,295.58,80.92,96346.02,18.75,108.84, 
13.34,18.65,1.27,2.18,0.24,64.45,-5.28,0.23,295.26,82.77,96315.96,18.75,108.98, 
13.02,18.74,1.32,2.15,0.25,65.7,-5.08,-1.45,296.44,78.91,97913.05,18.75,109.12, 
13.06,19.34,1.34,2.18,0.26,64.63,-5.85,-1.86,296.4,79.18,97890.9,18.74,109.26, 
12.99,19.61,1.4,2.17,0.27,66.61,-7.18,0.05,295.24,83.17,96175.57,18.73,109.4, 
13.5,20.56,1.48,2.34,0.28,67.78,-7.19,-0.37,293.93,89.74,94911.63,18.73,109.54, 
14.2,21.76,1.53,2.33,0.28,70.2,-5.94,-2.17,293.67,93.21,95103.63,18.72,109.68, 
15.22,24.03,1.58,2.38,0.29,70.85,-4.96,-2.92,293.82,95.82,96081.88,18.72,109.82, 
