地市,经度,纬度
七台河,130.878,45.774
三亚,109.5,18.25
三明,117.39769230769231,26.33076923076923
三门峡,111.28857142857143,34.621428571428574
上海,121.42699999999999,31.1995
上饶,117.60307692307691,28.627692307692307
东莞,113.75,23.05
东营,118.48333333333333,37.485
中卫,105.42,37.2725
中山,113.38,22.52
临夏回族自治州,103.35125,35.5725
临汾,111.38166666666666,36.18388888888889
临沂,118.29692307692306,35.19769230769231
临沧,99.6175,23.915
丹东,124.36142857142856,40.222857142857144
丽水,119.63199999999999,28.255000000000003
丽江,100.59333333333332,26.861666666666665
乌兰察布,113.04666666666667,41.10166666666667
乌海,106.8075,39.575
乌鲁木齐,87.67777777777778,43.78111111111111
乐山,103.75615384615384,29.386153846153846
九江,115.82538461538462,29.493846153846157
云浮,111.89833333333333,22.938333333333333
五指山,109.795,19.194375
亳州,116.10799999999999,33.534000000000006
仙桃,112.5425,30.802500000000002
伊春,129.16823529411766,47.83588235294118
伊犁哈萨克自治州,82.00272727272727,43.74363636363636
佛山,113.06400000000001,22.984
佳木斯,131.00750000000002,47.053333333333335
保定,115.4226923076923,38.909615384615385
保山,99.05,24.901666666666667
信阳,114.79818181818182,32.09909090909091
克拉玛依,85.08,45.46
六安,116.46375,31.85125
六盘水,104.91199999999999,26.338
兰州,103.64,36.208571428571425
兴义,105.41125,25.34625
兴安盟,121.69857142857143,46.08142857142857
内江,104.82000000000001,29.57
凉山彝族自治州,102.50722222222221,27.824444444444442
包头,110.0911111111111,40.787777777777784
北京,116.41099999999999,39.9985
北海,109.25,21.560000000000002
十堰,110.64666666666666,32.544444444444444
南京,118.696,32.138666666666666
南充,106.15299999999999,31.038
南宁,108.41000000000001,23.018333333333334
南平,118.14363636363636,27.270000000000003
南昌,115.87899999999999,28.653
南通,120.95777777777776,32.12
南阳,112.40428571428572,32.97
博尔塔拉蒙古自治州,82.01249999999999,44.8425
厦门,118.10000000000001,24.548571428571428
双鸭山,131.70333333333332,46.62222222222223
台州,121.23700000000001,28.706
合肥,117.2725,31.91375
吉安,114.88928571428572,27.069285714285716
吉林,126.63499999999999,43.701
吐鲁番地区,89.30250000000001,42.8875
吕梁,111.36357142857142,37.55357142857143
吴忠,106.35799999999999,37.748000000000005
周口,114.854,33.719
呼伦贝尔,120.27923076923078,49.25692307692308
呼和浩特,111.559,40.642
和田地区,80.34555555555556,37.135555555555555
咸宁,114.11,29.68857142857143
咸阳,108.414,34.59
哈密地区,93.91333333333334,42.97
哈尔滨,127.37222222222223,45.72333333333333
唐山,118.33200000000001,39.724666666666664
商丘,115.61399999999999,34.345
商洛,109.91625,33.71125
喀什地区,76.80416666666666,39.045
嘉兴,120.79857142857144,30.68
嘉峪关,98.27,39.8
四平,124.43285714285715,43.31142857142857
固原,106.22833333333334,35.82
塔城地区,84.02375,45.965
墨江哈尼族自治县,100.76833333333333,23.189999999999998
大兴安岭地区,124.5,51.86
大同,113.466875,39.22625
大庆,124.93699999999998,46.406
大理白族自治州,100.13615384615385,25.72153846153846
大连,121.86181818181818,39.13818181818181
天水,105.65833333333335,34.775
天津,117.309,39.194
太原,112.42818181818183,37.86727272727273
威海,122.048,37.262
娄底,111.76666666666667,27.673333333333332
孝感,113.845,31.07
宁德,119.53699999999999,26.994999999999997
宁波,121.53333333333335,29.81833333333333
安庆,116.82333333333334,30.594166666666666
安康,108.99,32.67272727272727
安阳,114.36399999999999,36.013999999999996
安顺,105.9057142857143,26.14428571428571
定西,104.46375,35.14375
宜宾,104.73454545454545,28.598181818181818
宜昌,111.2942857142857,30.687142857142856
宜春,114.97000000000001,28.283636363636365
宝鸡,107.3076923076923,34.41
宣城,118.825,30.701249999999998
宿州,117.11,33.815
宿迁,118.42,33.86833333333333
山南地区,91.65,28.902307692307694
岳阳,113.122,29.199
崇左,107.18142857142857,22.505714285714284
巢湖,117.89833333333333,31.531666666666666
巴中,106.94000000000001,31.908000000000005
巴彦淖尔,107.6875,40.9
巴音郭楞蒙古自治州,86.299,41.244
常州,119.85125000000001,31.72
常德,111.732,29.26
平凉,106.7225,35.3425
平顶山,113.1690909090909,33.775454545454544
广元,105.49555555555555,31.70777777777778
广安,106.60799999999999,30.415999999999997
广州,113.36999999999999,23.18909090909091
